objectid,parentid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,image_thumb,source,identifier,type,format,language,rights,rightsstatement
demo_wm001,,220314124333-weather-cloud-seeding-05.jpg,,,CNN: Scientists in the US are flying planes into clouds to make it snow more,"Jennifer Gray and Rachel Ramirez, CNN",2022-03-14,"With 61% of the contiguous US in drought, wouldn’t it be nice if we could just “make it rain” or just “make more snow?” <br> Well, certain parts of the country are doing just that, sort of. It’s called cloud seeding, and it’s nothing new. <br> It’s been around since the 1940s and countries all over the world have been doing it for various reasons (most notably China), but it’s a growing practice in the US, especially in the drought-stricken West.",weather modification,,,,,"Gray, J., & Ramirez, R. (2022, March 14). Scientists in the US are flying planes into clouds to make it snow more. CNN. https://www.cnn.com/2022/03/14/weather/cloud-seeding-weather-modification-wxn/index.html ",,Image,image/jpg,eng,,
Trucks_02,,GOVPUB-D301-PURL-LPS72840_p47-1.jpg,,,The War against Trucks Aerial Interdiction in Southern Laos 1968-1972,Bernard C. Nalty,1972,"An overview of the US Air Force's six years of weather modification activities using photoflash cartriges, stating the results were not convincing.",military weather modification,Vietnam,18,105,,"Nalty, B. (2005). The War Against Trucks Aerial Interdication in Southern Laos 1968-1972. Air Force History and Museums Program.",,Image,image/jpg,,,
Trucks_01,,GOVPUB-D301-PURL-LPS72840.jpg,,,Cover Page: The War against Trucks Aerial Interdiction in Southern Laos 1968-1972,Bernard C. Nalty,2005,"Nalty examines the U.S. Air Force's efforts to disrupt the Ho Chi Minh Trail during the Vietnam War, a critical supply route for North Vietnamese forces. Besides the implementation of advanced warfare technologies like surveillance systems and air patrol, they also explored weather modification techniques. They employed cloud seeding to intensify rainfall in order to obstruct enemy transportation. However, terrain challenges and countermeasures limit the campaign's impact, leading to broader discussions on their effectiveness",military weather modification,Vietnam,18,105,,"Nalty, B. (2005). The War Against Trucks Aerial Interdication in Southern Laos 1968-1972. Air Force History and Museums Program.",,Image,image/jpg,,,
Compound_Senate_Hearings_1974,,,,,"Senate Hearing, 93rd Congress - Weather modification: hearings before the Subcommittee on Oceans and International Environment of the Committee on Foreign Relations",Subcommittee on Oceans and International Environment,1974,"This early experiment in the 1890s tried to conduct weather modification by creating rain over portions of Texas between the towns of San Diego and El Paso. The Department of Agriculture was trying to see if explosions from balloons could cause rainfall due to concussive activity. While there were eyewitness accounts to attest to the creation of rainfall, there were other proven methods. Trying to induce rainfall via explosions from balloons was also a high cost. <br> This 1892 letter presents the U.S. government's early attempt at weather modifications. Although the experiment proved that concussion force can trigger rain, it was deemed costly and impractical. Seeing such an early exploration and how it evolves despite its lack of definitive success is fascinating.",congress weather modification,United States,,,,"Fulbright, J. W. (1974). Weather Modications. Senate Subcommittee on Oceans and the Environment.
",,,compound_object,,,
Senate_Hearings_1974_01,Compound_Senate_Hearings_1974,CHRG-93shrg29544O_1974_TS.jpg,,,Cover Page,Subcommittee on Oceans and International Environment,1974,Pros and Cons of Weather Modification with emphasis on International Repercussions,congress weather modification,United States,,,,"Fulbright, J. W. (1974). Weather Modications. Senate Subcommittee on Oceans and the Environment.
",,Image,image/jpg,,,
Senate_Hearings_1974_02,Compound_Senate_Hearings_1974,CHRG-93shrg29544O_1974_TS_p16-1.jpg,,,pp. 16,Subcommittee on Oceans and International Environment,1974,"Weather modification used for military purposes in Southeast Asia, but was not revealed to the public",congress weather modification,United States,,,,"Fulbright, J. W. (1974). Weather Modications. Senate Subcommittee on Oceans and the Environment.
",,Image,image/jpg,,,
Senate_Hearings_1974_03,Compound_Senate_Hearings_1974,CHRG-93shrg29544O_1974_TS_p33-1.jpg,,,pp. 33,Subcommittee on Oceans and International Environment,1974,"Civil applications of weather modifications can be benefitial, as it was to the military",congress weather modification,United States,,,,"Fulbright, J. W. (1974). Weather Modications. Senate Subcommittee on Oceans and the Environment.
",,Image,image/jpg,,,
Senate_Hearings_1974_04,Compound_Senate_Hearings_1974,CHRG-93shrg29544O_1974_TS_p54-1.jpg,,,pp. 54,Subcommittee on Oceans and International Environment,1974,Potential environmental and geophysical weapon uses of weather modification,congress weather modification,United States,,,,"Fulbright, J. W. (1974). Weather Modications. Senate Subcommittee on Oceans and the Environment.
",,Image,image/jpg,,,
Senate_Hearings_1974_05,Compound_Senate_Hearings_1974,CHRG-93shrg29544O_1974_TS_p92-1.jpg,,,pp. 92,Subcommittee on Oceans and International Environment,1966,"It was concluded that weather modification can be used as a tactical weapon. Two aircraft types were used, WC-130 and RF-4C , both had 104 sondes per pod. They were dropped in the Laotian panhandle and would be effective for 30 minutes to 6 hours, weather depending.",congress weather modification,United States,,,,"Fulbright, J. W. (1974). Weather Modications. Senate Subcommittee on Oceans and the Environment.
",,Image,image/jpg,,,
Senate_Hearings_1974_06,Compound_Senate_Hearings_1974,CHRG-93shrg29544O_1974_TS_p112-1.jpg,,,pp. 112,Subcommittee on Oceans and International Environment,1974,Statement that the Southeast Asia tests were the only classified weather modification project in the ten years. ,congress weather modification,United States,,,,"Fulbright, J. W. (1974). Weather Modications. Senate Subcommittee on Oceans and the Environment.
",,Image,image/jpg,,,
